id,instance_size,payload,max_job_retries
CL0015080,m2.4xlarge,/data3/UAT/data_files/current/CL0015080,1
CL0012501,m2.4xlarge,/data3/UAT/data_files/current/CL0012501,1
CL0010310,m2.4xlarge,/data3/UAT/data_files/current/CL0010310,1
CL0010155,m2.4xlarge,/data3/UAT/data_files/current/CL0010155,1
CL0010515,m2.4xlarge,/data3/UAT/data_files/current/CL0010515,1
CL0010340,m2.4xlarge,/data3/UAT/data_files/current/CL0010340,1
CL0010510,m2.4xlarge,/data3/UAT/data_files/current/CL0010510,1
CL0010520,m2.4xlarge,/data3/UAT/data_files/current/CL0010520,1
CL0010170,m2.xlarge,/data3/UAT/data_files/current/CL0010170,1
CL0010120,m2.xlarge,/data3/UAT/data_files/current/CL0010120,1
CL0011130,m2.xlarge,/data3/UAT/data_files/current/CL0011130,1
CL0010230,m2.xlarge,/data3/UAT/data_files/current/CL0010230,1
CL0010501,m2.xlarge,/data3/UAT/data_files/current/CL0010501,1
CL0010540,m2.xlarge,/data3/UAT/data_files/current/CL0010540,1
CL0010560,m2.xlarge,/data3/UAT/data_files/current/CL0010560,1
CL0010101,m2.xlarge,/data3/UAT/data_files/current/CL0010101,1
CL0015050,m2.xlarge,/data3/UAT/data_files/current/CL0015050,1
CL0010110,m2.xlarge,/data3/UAT/data_files/current/CL0010110,1
CL0011135,m2.xlarge,/data3/UAT/data_files/current/CL0011135,1
CL0015040,m2.xlarge,/data3/UAT/data_files/current/CL0015040,1
CL0010180,m2.xlarge,/data3/UAT/data_files/current/CL0010180,1
CL0015055,m2.xlarge,/data3/UAT/data_files/current/CL0015055,1
CL0010150,m2.xlarge,/data3/UAT/data_files/current/CL0010150,1
CL0010210,m2.xlarge,/data3/UAT/data_files/current/CL0010210,1
CL0012575,m2.xlarge,/data3/UAT/data_files/current/CL0012575,1
CL0010135,m2.xlarge,/data3/UAT/data_files/current/CL0010135,1
CL0012202,m2.xlarge,/data3/UAT/data_files/current/CL0012202,1
CL0012222,m2.xlarge,/data3/UAT/data_files/current/CL0012222,1
CL0023110,m2.xlarge,/data3/UAT/data_files/current/CL0023110,1
CL0024102,m2.xlarge,/data3/UAT/data_files/current/CL0024102,1
CL0023106,m2.xlarge,/data3/UAT/data_files/current/CL0023106,1
CL0015010,m2.xlarge,/data3/UAT/data_files/current/CL0015010,1
CL0012230,m2.xlarge,/data3/UAT/data_files/current/CL0012230,1
CL0010145,m2.xlarge,/data3/UAT/data_files/current/CL0010145,1
CL0010160,m2.xlarge,/data3/UAT/data_files/current/CL0010160,1
CL0024504,m2.xlarge,/data3/UAT/data_files/current/CL0024504,1
CL0023101,m2.xlarge,/data3/UAT/data_files/current/CL0023101,1
CL0012515,m2.xlarge,/data3/UAT/data_files/current/CL0012515,1
CL0023104,m2.xlarge,/data3/UAT/data_files/current/CL0023104,1
CL0010355,m2.xlarge,/data3/UAT/data_files/current/CL0010355,1
CL0015075,m2.xlarge,/data3/UAT/data_files/current/CL0015075,1
CL0015045,m2.xlarge,/data3/UAT/data_files/current/CL0015045,1
CL0024502,m2.xlarge,/data3/UAT/data_files/current/CL0024502,1
CL0023103,m2.xlarge,/data3/UAT/data_files/current/CL0023103,1
CL0024510,m2.xlarge,/data3/UAT/data_files/current/CL0024510,1
CL0023201,m2.xlarge,/data3/UAT/data_files/current/CL0023201,1
CL0012265,m2.xlarge,/data3/UAT/data_files/current/CL0012265,1
CL0010241,m2.xlarge,/data3/UAT/data_files/current/CL0010241,1
CL0010525,m2.xlarge,/data3/UAT/data_files/current/CL0010525,1
CL0024103,m2.xlarge,/data3/UAT/data_files/current/CL0024103,1
CL0015099,m2.xlarge,/data3/UAT/data_files/current/CL0015099,1
CL0010350,m2.xlarge,/data3/UAT/data_files/current/CL0010350,1
CL0012221,m2.xlarge,/data3/UAT/data_files/current/CL0012221,1
CL0024101,m2.xlarge,/data3/UAT/data_files/current/CL0024101,1
CL0010570,m2.xlarge,/data3/UAT/data_files/current/CL0010570,1
CL0023202,m2.xlarge,/data3/UAT/data_files/current/CL0023202,1
CL0010115,m2.xlarge,/data3/UAT/data_files/current/CL0010115,1
CL0011140,m2.xlarge,/data3/UAT/data_files/current/CL0011140,1
CL0023203,m2.xlarge,/data3/UAT/data_files/current/CL0023203,1
